strategy,side,ticker,session_date,signal_ts,entry_ts,entry,target,stop,split,previous_close,risk_pct,entry_vs_prev,hold_minutes
FAILED_HOD_BREAK,SHORT,HUBC,2026-05-15,2026-05-15T14:57:00+00:00,2026-05-15T14:58:00+00:00,4.4251320000000005,4.029396000000003,4.622999999999999,development,2.998,0.04471459834418472,0.4760280186791195,45
FAILED_HOD_BREAK,SHORT,SKK,2026-05-15,2026-05-15T15:05:00+00:00,2026-05-15T15:06:00+00:00,4.85527,4.616310000000001,4.974749999999999,development,3.39,0.02460831220502517,0.432232...
